,Property,Supplier1_Comparative_Mining,Title,Importance,Level,Data type,Number of entries,Number of unique entries,List up to 100 unique entries to view the structure of the event attributes,Length of the list of up to 100 unique entries,Number of duplicate entries,Number of undefined entries,Percentage of undefined entries
0,caseID,Supplier1_Comparative_Mining,Case ID,Mandatory attribute,Case level,string,349524,53103,"['2000000000 1', '2000000001 1', '2000000002 1', '2000000003 1', '2000000003 2', '2000000003 3', '2000000004 1', '2000000005 1', '2000000005 2', '2000000006 1', '2000000007 1', '2000000008 1', '2000000009 1', '2000000010 1', '2000000011 1', '2000000012 1', '2000000013 1', '2000000014 1', '2000000015 1', '2000000016 1', '2000000017 1', '2000000018 1', '2000000019 1', '2000000020 1', '2000000021 1', '2000000022 1', '2000000023 1', '2000000024 1', '2000000025 1', '2000000026 1', '2000000026 2', '2000000027 1', '2000000028 1', '2000000029 1', '2000000029 2', '2000000029 3', '2000000030 1', '2000000031 1', '2000000032 1', '2000000033 1', '2000000034 1', '2000000035 1', '2000000036 1', '2000000037 1', '2000000037 2', '2000000037 3', '2000000038 1', '2000000039 1', '2000000039 2', '2000000040 1', '2000000041 1', '2000000042 1', '2000000043 1', '2000000044 1', '2000000045 1', '2000000045 2', '2000000046 1', '2000000047 1', '2000000048 1', '2000000049 1', '2000000050 1', '2000000051 1', '2000000052 1', '2000000053 1', '2000000054 1', '2000000054 2', '2000000054 3', '2000000054 4', '2000000055 1', '2000000056 1', '2000000057 1', '2000000058 1', '2000000059 1', '2000000060 1', '2000000061 1', '2000000062 1', '2000000063 1', '2000000064 1', '2000000065 1', '2000000066 1', '2000000067 1', '2000000068 1', '2000000069 1', '2000000070 1', '2000000071 1', '2000000072 1', '2000000073 1', '2000000074 1', '2000000075 1', '2000000076 1', '2000000076 2', '2000000076 3', '2000000077 1', '2000000077 2', '2000000078 1', '2000000079 1', '2000000079 2', '2000000079 3', '2000000080 1', '2000000080 2']",100,296421,0,0
1,event time:timestamp,Supplier1_Comparative_Mining,Timestamp,Mandatory attribute,Event level,datetime64[ns],349524,49269,"[numpy.datetime64('2018-02-01T13:53:00.000000000'), numpy.datetime64('2018-02-01T14:53:00.000000000'), numpy.datetime64('2018-02-01T23:59:00.000000000'), numpy.datetime64('2018-06-03T07:44:00.000000000'), numpy.datetime64('2018-06-03T08:53:00.000000000'), numpy.datetime64('2018-03-29T15:06:00.000000000'), numpy.datetime64('2018-03-01T09:49:00.000000000'), numpy.datetime64('2018-03-01T10:49:00.000000000'), numpy.datetime64('2018-10-01T23:59:00.000000000'), numpy.datetime64('2018-01-16T13:09:00.000000000'), numpy.datetime64('2018-01-16T15:44:00.000000000'), numpy.datetime64('2018-08-03T13:21:00.000000000'), numpy.datetime64('2018-04-01T14:17:00.000000000'), numpy.datetime64('2018-04-01T15:17:00.000000000'), numpy.datetime64('2018-06-02T15:53:00.000000000'), numpy.datetime64('2018-06-02T23:59:00.000000000'), numpy.datetime64('2018-08-02T11:19:00.000000000'), numpy.datetime64('2018-08-16T12:20:00.000000000'), numpy.datetime64('2018-08-16T12:41:00.000000000'), numpy.datetime64('2018-08-16T15:03:00.000000000'), numpy.datetime64('2018-08-01T07:21:00.000000000'), numpy.datetime64('2018-08-01T08:21:00.000000000'), numpy.datetime64('2018-08-01T23:59:00.000000000'), numpy.datetime64('2018-12-01T14:14:00.000000000'), numpy.datetime64('2018-12-02T16:58:00.000000000'), numpy.datetime64('2018-12-01T14:13:00.000000000'), numpy.datetime64('2018-05-03T16:30:00.000000000'), numpy.datetime64('2018-08-01T10:08:00.000000000'), numpy.datetime64('2018-08-01T11:08:00.000000000'), numpy.datetime64('2018-08-01T11:09:00.000000000'), numpy.datetime64('2018-01-19T09:09:00.000000000'), numpy.datetime64('2018-03-04T06:26:00.000000000'), numpy.datetime64('2018-05-04T15:51:00.000000000'), numpy.datetime64('2018-02-08T09:15:00.000000000'), numpy.datetime64('2018-02-08T09:17:00.000000000'), numpy.datetime64('2018-02-08T09:19:00.000000000'), numpy.datetime64('2018-08-01T11:33:00.000000000'), numpy.datetime64('2018-08-01T12:33:00.000000000'), numpy.datetime64('2018-09-01T10:04:00.000000000'), numpy.datetime64('2018-09-01T12:59:00.000000000'), numpy.datetime64('2018-02-23T12:14:00.000000000'), numpy.datetime64('2018-08-01T13:12:00.000000000'), numpy.datetime64('2018-08-01T14:12:00.000000000'), numpy.datetime64('2018-01-17T09:11:00.000000000'), numpy.datetime64('2018-02-21T13:53:00.000000000'), numpy.datetime64('2018-02-21T13:55:00.000000000'), numpy.datetime64('2018-08-03T13:22:00.000000000'), numpy.datetime64('2018-08-01T15:36:00.000000000'), numpy.datetime64('2018-08-01T16:36:00.000000000'), numpy.datetime64('2018-01-15T12:53:00.000000000'), numpy.datetime64('2018-01-17T15:49:00.000000000'), numpy.datetime64('2018-02-22T16:18:00.000000000'), numpy.datetime64('2018-09-01T13:14:00.000000000'), numpy.datetime64('2018-09-01T14:14:00.000000000'), numpy.datetime64('2018-08-03T08:27:00.000000000'), numpy.datetime64('2018-09-03T16:47:00.000000000'), numpy.datetime64('2018-03-15T14:13:00.000000000'), numpy.datetime64('2018-09-01T15:30:00.000000000'), numpy.datetime64('2018-09-01T16:30:00.000000000'), numpy.datetime64('2018-09-01T23:59:00.000000000'), numpy.datetime64('2018-10-01T16:11:00.000000000'), numpy.datetime64('2018-01-16T10:49:00.000000000'), numpy.datetime64('2018-03-29T15:11:00.000000000'), numpy.datetime64('2018-05-09T11:43:00.000000000'), numpy.datetime64('2018-05-09T13:44:00.000000000'), numpy.datetime64('2018-05-09T16:34:00.000000000'), numpy.datetime64('2018-09-01T16:54:00.000000000'), numpy.datetime64('2018-09-01T17:54:00.000000000'), numpy.datetime64('2018-11-01T11:10:00.000000000'), numpy.datetime64('2018-11-04T16:45:00.000000000'), numpy.datetime64('2018-12-04T14:08:00.000000000'), numpy.datetime64('2018-10-01T15:38:00.000000000'), numpy.datetime64('2018-10-01T16:38:00.000000000'), numpy.datetime64('2018-01-29T23:59:00.000000000'), numpy.datetime64('2018-02-26T09:41:00.000000000'), numpy.datetime64('2018-05-03T16:12:00.000000000'), numpy.datetime64('2018-10-01T16:40:00.000000000'), numpy.datetime64('2018-01-16T14:27:00.000000000'), numpy.datetime64('2018-01-22T23:59:00.000000000'), numpy.datetime64('2018-01-24T17:15:00.000000000'), numpy.datetime64('2018-02-15T14:51:00.000000000'), numpy.datetime64('2018-11-01T15:41:00.000000000'), numpy.datetime64('2018-11-01T16:41:00.000000000'), numpy.datetime64('2018-02-16T16:47:00.000000000'), numpy.datetime64('2018-02-19T14:20:00.000000000'), numpy.datetime64('2018-01-03T14:06:00.000000000'), numpy.datetime64('2018-03-29T23:59:00.000000000'), numpy.datetime64('2018-10-04T16:08:00.000000000'), numpy.datetime64('2018-10-04T16:22:00.000000000'), numpy.datetime64('2018-04-19T14:47:00.000000000'), numpy.datetime64('2018-06-25T23:59:00.000000000'), numpy.datetime64('2018-07-24T12:29:00.000000000'), numpy.datetime64('2018-07-25T15:00:00.000000000'), numpy.datetime64('2018-07-26T18:09:00.000000000'), numpy.datetime64('2018-12-01T09:51:00.000000000'), numpy.datetime64('2018-12-01T10:51:00.000000000'), numpy.datetime64('2018-01-25T01:16:00.000000000'), numpy.datetime64('2018-01-30T23:59:00.000000000'), numpy.datetime64('2018-01-31T23:59:00.000000000'), numpy.datetime64('2018-05-02T11:46:00.000000000')]",100,300255,0,0
2,event concept:name,Supplier1_Comparative_Mining,Activity,Mandatory attribute,Event level,string,349524,38,"['SRM: Created', 'SRM: Change was Transmitted', 'SRM: Document Completed', 'SRM: Awaiting Approval', 'SRM: Complete', 'SRM: In Transfer to Execution Syst.', 'SRM: Ordered', 'Create Purchase Order Item', 'Vendor creates invoice', 'Record Goods Receipt', 'Record Invoice Receipt', 'Clear Invoice', 'Record Service Entry Sheet', 'Cancel Goods Receipt', 'Vendor creates debit memo', 'Cancel Invoice Receipt', 'Remove Payment Block', 'SRM: Deleted', 'Change Price', 'Delete Purchase Order Item', 'SRM: Transaction Completed', 'Change Quantity', 'Change Delivery Indicator', 'Change Final Invoice Indicator', 'SRM: Incomplete', 'SRM: Held', 'Cancel Subsequent Invoice', 'Record Subsequent Invoice', 'Receive Order Confirmation', 'Reactivate Purchase Order Item', 'Update Order Confirmation', 'Block Purchase Order Item', 'Change Approval for Purchase Order', 'Release Purchase Order', 'Set Payment Block', 'Create Purchase Requisition Item', 'Change Storage Location', 'Change Currency']",38,349486,0,0
3,eventID ,Supplier1_Comparative_Mining,Event ID,Mandatory attribute,Event level,float64,349524,2945,"[0.0, 6.0, 3.0, 2.0, 1.0, 4.0, 5.0, 7.0, 8.0, 9.0, 10.0, 11.0, 4294967296.0, 4294967299.0, 4294967298.0, 4294967300.0, 4294967301.0, 4294967302.0, 4294967303.0, 4294967297.0, 4294967304.0, 4294967305.0, 4294967306.0, 4294967307.0, 4294967308.0, 8589934592.0, 8589934593.0, 8589934595.0, 8589934597.0, 8589934596.0, 8589934594.0, 8589934599.0, 8589934598.0, 8589934600.0, 8589934601.0, 8589934602.0, 8589934603.0, 8589934604.0, 8589934605.0, 8589934606.0, 8589934607.0, 12884901888.0, 12884901894.0, 12884901892.0, 12884901895.0, 12884901891.0, 12884901889.0, 12884901890.0, 12884901893.0, 12884901896.0, 12884901897.0, 12884901898.0, 12884901899.0, 17179869184.0, 17179869190.0, 17179869189.0, 17179869188.0, 17179869185.0, 17179869187.0, 17179869186.0, 17179869191.0, 17179869192.0, 17179869193.0, 17179869194.0, 17179869195.0, 21474836480.0, 21474836482.0, 21474836483.0, 21474836487.0, 21474836486.0, 21474836485.0, 21474836484.0, 21474836481.0, 21474836488.0, 21474836489.0, 21474836490.0, 21474836491.0, 25769803776.0, 25769803780.0, 25769803781.0, 25769803779.0, 25769803782.0, 25769803783.0, 25769803778.0, 25769803777.0, 25769803784.0, 25769803785.0, 25769803786.0, 25769803787.0, 30064771072.0, 30064771075.0, 30064771074.0, 30064771073.0, 30064771076.0, 30064771078.0, 30064771079.0, 30064771077.0, 30064771081.0, 30064771080.0, 30064771082.0]",100,346579,0,0
4,case Document Type,Supplier1_Comparative_Mining,case Document Type,Additional attribute,Case level,string,349524,3,"['EC Purchase order', 'Standard PO', 'Framework order']",3,349521,0,0
5,case Sub spend area text,Supplier1_Comparative_Mining,case Sub spend area text,Additional attribute,Case level,string,349524,122,"['Facility Management', 'Marketing Support Services', 'Digital Marketing', 'Office Supplies', 'HR Services', 'Advertising', 'ICT Software', 'Laboratory Supplies & Services', 'MRO (components)', 'Third Party Labor', 'Design', 'Consulting', 'Raw Material', 'Communications', 'Other Logistics Services', 'Equipment', 'Road Packed', 'Express', <NA>, 'Travel & expenses', 'Technical Services', 'Market Research', 'ICT Services', 'Products for Resale', 'Color Collateral', 'Real estate brokers or agents', 'Process Automation & Instrumentation', 'QHSE Services', 'Media', 'Sales Promotion', 'Packaging', 'Spectrophotometers', 'Trading products (old structure)', 'Information Services', 'Public Relations', 'Business Gifts & Promotional Items', 'SOC&S - Other', 'Labels', 'Plastic Containers & Lids < 30L', 'Metal Containers & Lids < 30L', 'Extenders', 'Alkyd Resins', 'Glycol & Ether Solvents', 'Defoamers & Antifoams', 'Surfactants', 'Driers & Antiskinning Agents', 'Mixing Machines', 'Plastic Film', 'Biocides', 'Waxes', 'Colorants', 'Chloride', 'Ester Solvents', 'Customers', 'Opaque Polymers', 'Closures', 'Light & Heat Stabilizers', 'Rheology & Thixotropic Agents', 'Plasticizers', 'Bags', 'Pure Acrylics', 'Styrene Acrylics', 'Carbon Black Pigments', 'Aliphatic Solvents', 'Neutralisation Agents', 'Vinyl Acetate Ethylenes', 'Vinyl Acrylics', 'Sea', 'Drums', 'Aromatic Solvents', 'Specialty Resins - Other', 'Inorganic Pigments', 'Organic Pigments', 'Pallets', 'Alcohol Solvents', 'Polyester Resins - Liquid', 'Monomers - Styrene', 'Fire Protection Agents', 'Warehousing', 'Packaging - Other', 'Jerry Cans', 'Isocyanates', 'Commodity Resins Precursors', 'Catalysts & Initiators', 'Additives - Other', 'Corrosion Inhibitors', 'Specialty Resins Precursors', 'Sulphate', 'Acrylic Resins  Liquid', 'Ketones Solvents', 'Epoxy Resins - Liquid', 'Tubes', 'Paperboard', 'Latexes - Other', 'UV Resins', 'Intermediate Bulk Containers (IBC)', 'Polyurethane Resins', 'Polyamides & Polyamines', 'Effect Pigments', 'Polyvinyl Acetates']",100,349402,2626,0.75
6,case Purch. Doc. Category name,Supplier1_Comparative_Mining,case Purch. Doc. Category name,Additional attribute,Case level,string,349524,1,['Purchase order'],1,349523,0,0
7,case Vendor,Supplier1_Comparative_Mining,case Vendor,Additional attribute,Case level,string,349524,1360,"['vendorID_0000', 'vendorID_0001', 'vendorID_0002', 'vendorID_0003', 'vendorID_0004', 'vendorID_0005', 'vendorID_0006', 'vendorID_0007', 'vendorID_0008', 'vendorID_0009', 'vendorID_0010', 'vendorID_0011', 'vendorID_0012', 'vendorID_0013', 'vendorID_0014', 'vendorID_0015', 'vendorID_0016', 'vendorID_0017', 'vendorID_0018', 'vendorID_0019', 'vendorID_0020', 'vendorID_0021', 'vendorID_0022', 'vendorID_0023', 'vendorID_0024', 'vendorID_0025', 'vendorID_0026', 'vendorID_0027', 'vendorID_0028', 'vendorID_0029', 'vendorID_0030', 'vendorID_0031', 'vendorID_0032', 'vendorID_0033', 'vendorID_0034', 'vendorID_0035', 'vendorID_0036', 'vendorID_0037', 'vendorID_0038', 'vendorID_0039', 'vendorID_0040', 'vendorID_0041', 'vendorID_0042', 'vendorID_0043', 'vendorID_0044', 'vendorID_0045', 'vendorID_0046', 'vendorID_0047', 'vendorID_0048', 'vendorID_0049', 'vendorID_0050', 'vendorID_0051', 'vendorID_0052', 'vendorID_0053', 'vendorID_0054', 'vendorID_0055', 'vendorID_0056', 'vendorID_0057', 'vendorID_0058', 'vendorID_0059', 'vendorID_0060', 'vendorID_0061', 'vendorID_0062', 'vendorID_0063', 'vendorID_0064', 'vendorID_0065', 'vendorID_0066', 'vendorID_0067', 'vendorID_0068', 'vendorID_0069', 'vendorID_0070', 'vendorID_0071', 'vendorID_0072', 'vendorID_0073', 'vendorID_0074', 'vendorID_0075', 'vendorID_0076', 'vendorID_0077', 'vendorID_0078', 'vendorID_0079', 'vendorID_0080', 'vendorID_0081', 'vendorID_0082', 'vendorID_0083', 'vendorID_0084', 'vendorID_0085', 'vendorID_0086', 'vendorID_0087', 'vendorID_0088', 'vendorID_0089', 'vendorID_0090', 'vendorID_0091', 'vendorID_0092', 'vendorID_0093', 'vendorID_0094', 'vendorID_0095', 'vendorID_0096', 'vendorID_0097', 'vendorID_0098', 'vendorID_0099']",100,348164,0,0
8,case Item Type,Supplier1_Comparative_Mining,case Item Type,Additional attribute,Case level,string,349524,5,"['Standard', 'Service', 'Consignment', 'Subcontracting', 'Third-party']",5,349519,0,0
9,case Item Category,Supplier1_Comparative_Mining,case Item Category,Additional attribute,Case level,string,349524,3,"['3-way match, invoice before GR', '3-way match, invoice after GR', 'Consignment']",3,349521,0,0
